[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 8.009653 seconds
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.742703 seconds.
[LightGBM] [Info] Iteration:16, valid_1 ndcg@1 : 0.707169
[LightGBM] [Info] Iteration:16, valid_1 ndcg@3 : 0.709434
[LightGBM] [Info] Iteration:16, valid_1 ndcg@5 : 0.728189
[LightGBM] [Info] Iteration:16, valid_1 ndcg@10 : 0.772753
[LightGBM] [Info] 5.424666 seconds elapsed, finished iteration 16
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:17, valid_1 ndcg@1 : 0.70866
[LightGBM] [Info] Iteration:17, valid_1 ndcg@3 : 0.71033
[LightGBM] [Info] Iteration:17, valid_1 ndcg@5 : 0.729197
[LightGBM] [Info] Iteration:17, valid_1 ndcg@10 : 0.773575
[LightGBM] [Info] 5.721746 seconds elapsed, finished iteration 17
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:18, valid_1 ndcg@1 : 0.708934
[LightGBM] [Info] Iteration:18, valid_1 ndcg@3 : 0.710102
[LightGBM] [Info] Iteration:18, valid_1 ndcg@5 : 0.729806
[LightGBM] [Info] Iteration:18, valid_1 ndcg@10 : 0.773711
[LightGBM] [Info] 5.999945 seconds elapsed, finished iteration 18
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:19, valid_1 ndcg@1 : 0.709868
[LightGBM] [Info] Iteration:19, valid_1 ndcg@3 : 0.710894
[LightGBM] [Info] Iteration:19, valid_1 ndcg@5 : 0.730742
[LightGBM] [Info] Iteration:19, valid_1 ndcg@10 : 0.774538
[LightGBM] [Info] 6.269054 seconds elapsed, finished iteration 19
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:20, valid_1 ndcg@1 : 0.709305
[LightGBM] [Info] Iteration:20, valid_1 ndcg@3 : 0.711372
[LightGBM] [Info] Iteration:20, valid_1 ndcg@5 : 0.731167
[LightGBM] [Info] Iteration:20, valid_1 ndcg@10 : 0.774752
[LightGBM] [Info] 6.546362 seconds elapsed, finished iteration 20
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:21, valid_1 ndcg@1 : 0.711838
[LightGBM] [Info] Iteration:21, valid_1 ndcg@3 : 0.712467
[LightGBM] [Info] Iteration:21, valid_1 ndcg@5 : 0.732192
