[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 10.135371 seconds
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.327163 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Iteration:17, valid_1 ndcg@1 : 0.483683
[LightGBM] [Info] Iteration:17, valid_1 ndcg@3 : 0.46973
[LightGBM] [Info] Iteration:17, valid_1 ndcg@5 : 0.473123
[LightGBM] [Info] Iteration:17, valid_1 ndcg@10 : 0.4925
[LightGBM] [Info] 6.770303 seconds elapsed, finished iteration 17
[LightGBM] [Info] Iteration:18, valid_1 ndcg@1 : 0.481431
[LightGBM] [Info] Iteration:18, valid_1 ndcg@3 : 0.469644
[LightGBM] [Info] Iteration:18, valid_1 ndcg@5 : 0.473935
[LightGBM] [Info] Iteration:18, valid_1 ndcg@10 : 0.49308
[LightGBM] [Info] 7.220750 seconds elapsed, finished iteration 18
[LightGBM] [Info] Iteration:19, valid_1 ndcg@1 : 0.484465
[LightGBM] [Info] Iteration:19, valid_1 ndcg@3 : 0.47117
[LightGBM] [Info] Iteration:19, valid_1 ndcg@5 : 0.4751
[LightGBM] [Info] Iteration:19, valid_1 ndcg@10 : 0.494504
[LightGBM] [Info] 7.627279 seconds elapsed, finished iteration 19
[LightGBM] [Info] Iteration:20, valid_1 ndcg@1 : 0.486139
[LightGBM] [Info] Iteration:20, valid_1 ndcg@3 : 0.47271
[LightGBM] [Info] Iteration:20, valid_1 ndcg@5 : 0.476221
[LightGBM] [Info] Iteration:20, valid_1 ndcg@10 : 0.495333
[LightGBM] [Info] 8.069474 seconds elapsed, finished iteration 20
[LightGBM] [Info] Iteration:21, valid_1 ndcg@1 : 0.488995
[LightGBM] [Info] Iteration:21, valid_1 ndcg@3 : 0.473937
[LightGBM] [Info] Iteration:21, valid_1 ndcg@5 : 0.477575
[LightGBM] [Info] Iteration:21, valid_1 ndcg@10 : 0.496202
[LightGBM] [Info] 8.459589 seconds elapsed, finished iteration 21
[LightGBM] [Info] Iteration:22, valid_1 ndcg@1 : 0.486201
[LightGBM] [Info] Iteration:22, valid_1 ndcg@3 : 0.473515
[LightGBM] [Info] Iteration:22, valid_1 ndcg@5 : 0.477058
[LightGBM] [Info] Iteration:22, valid_1 ndcg@10 : 0.496489
[LightGBM] [Info] 8.849413 seconds elapsed, finished iteration 22
[LightGBM] [Info] Iteration:23, valid_1 ndcg@1 : 0.48949
[LightGBM] [Info] Iteration:23, valid_1 ndcg@3 : 0.475163
[LightGBM] [Info] Iteration:23, valid_1 ndcg@5 : 0.478664
[LightGBM] [Info] Iteration:23, valid_1 ndcg@10 : 0.497783
[LightGBM] [Info] 9.257355 seconds elapsed, finished iteration 23
[LightGBM] [Info] Iteration:24, valid_1 ndcg@1 : 0.490298
[LightGBM] [Info] Iteration:24, valid_1 ndcg@3 : 0.476045
[LightGBM] [Info] Iteration:24, valid_1 ndcg@5 : 0.479603
[LightGBM] [Info] Iteration:24, valid_1 ndcg@10 : 0.498491
[LightGBM] [Info] 9.647507 seconds elapsed, finished iteration 24
[LightGBM] [Info] Iteration:25, valid_1 ndcg@1 : 0.488872
[LightGBM] [Info] Iteration:25, valid_1 ndcg@3 : 0.477052
[LightGBM] [Info] Iteration:25, valid_1 ndcg@5 : 0.480237
[LightGBM] [Info] Iteration:25, valid_1 ndcg@10 : 0.499213
[LightGBM] [Info] 10.033702 seconds elapsed, finished iteration 25
[LightGBM] [Info] Iteration:26, valid_1 ndcg@1 : 0.49087
[LightGBM] [Info] Iteration:26, valid_1 ndcg@3 : 0.477788
[LightGBM] [Info] Iteration:26, valid_1 ndcg@5 : 0.481296
[LightGBM] [Info] Iteration:26, valid_1 ndcg@10 : 0.500356
[LightGBM] [Info] 10.416492 seconds elapsed, finished iteration 26
[LightGBM] [Info] Iteration:27, valid_1 ndcg@1 : 0.493027
[LightGBM] [Info] Iteration:27, valid_1 ndcg@3 : 0.478758
[LightGBM] [Info] Iteration:27, valid_1 ndcg@5 : 0.482065
[LightGBM] [Info] Iteration:27, valid_1 ndcg@10 : 0.501139
[LightGBM] [Info] 10.819701 seconds elapsed, finished iteration 27
[LightGBM] [Info] Iteration:28, valid_1 ndcg@1 : 0.494599
[LightGBM] [Info] Iteration:28, valid_1 ndcg@3 : 0.479366
[LightGBM] [Info] Iteration:28, valid_1 ndcg@5 : 0.483041
[LightGBM] [Info] Iteration:28, valid_1 ndcg@10 : 0.502213
[LightGBM] [Info] 11.231900 seconds elapsed, finished iteration 28
[LightGBM] [Info] Iteration:29, valid_1 ndcg@1 : 0.495507
[LightGBM] [Info] Iteration:29, valid_1 ndcg@3 : 0.480773
[LightGBM] [Info] Iteration:29, valid_1 ndcg@5 : 0.483951
[LightGBM] [Info] Iteration:29, valid_1 ndcg@10 : 0.502781
[LightGBM] [Info] 11.651618 seconds elapsed, finished iteration 29
[LightGBM] [Info] Iteration:30, valid_1 ndcg@1 : 0.495389
[LightGBM] [Info] Iteration:30, valid_1 ndcg@3 : 0.480208
[LightGBM] [Info] Iteration:30, valid_1 ndcg@5 : 0.484254
[LightGBM] [Info] Iteration:30, valid_1 ndcg@10 : 0.503273
[LightGBM] [Info] 12.065275 seconds elapsed, finished iteration 30
[LightGBM] [Info] Iteration:31, valid_1 ndcg@1 : 0.496227
[LightGBM] [Info] Iteration:31, valid_1 ndcg@3 : 0.480715
[LightGBM] [Info] Iteration:31, valid_1 ndcg@5 : 0.484955
[LightGBM] [Info] Iteration:31, valid_1 ndcg@10 : 0.503973
[LightGBM] [Info] 12.466609 seconds elapsed, finished iteration 31
[LightGBM] [Info] Iteration:32, valid_1 ndcg@1 : 0.497002
[LightGBM] [Info] Iteration:32, valid_1 ndcg@3 : 0.48086
[LightGBM] [Info] Iteration:32, valid_1 ndcg@5 : 0.485337
[LightGBM] [Info] Iteration:32, valid_1 ndcg@10 : 0.504927
[LightGBM] [Info] 12.845813 seconds elapsed, finished iteration 32
[LightGBM] [Info] Iteration:33, valid_1 ndcg@1 : 0.496665
[LightGBM] [Info] Iteration:33, valid_1 ndcg@3 : 0.481177
[LightGBM] [Info] Iteration:33, valid_1 ndcg@5 : 0.485285
[LightGBM] [Info] Iteration:33, valid_1 ndcg@10 : 0.504898
[LightGBM] [Info] 13.234820 seconds elapsed, finished iteration 33
[LightGBM] [Info] Iteration:34, valid_1 ndcg@1 : 0.498632
[LightGBM] [Info] Iteration:34, valid_1 ndcg@3 : 0.48224
[LightGBM] [Info] Iteration:34, valid_1 ndcg@5 : 0.486763
[LightGBM] [Info] Iteration:34, valid_1 ndcg@10 : 0.505513
[LightGBM] [Info] 13.637562 seconds elapsed, finished iteration 34
[LightGBM] [Info] Iteration:35, valid_1 ndcg@1 : 0.499533
[LightGBM] [Info] Iteration:35, valid_1 ndcg@3 : 0.483481
[LightGBM] [Info] Iteration:35, valid_1 ndcg@5 : 0.487113
[LightGBM] [Info] Iteration:35, valid_1 ndcg@10 : 0.506553
[LightGBM] [Info] 14.024546 seconds elapsed, finished iteration 35
[LightGBM] [Info] Iteration:36, valid_1 ndcg@1 : 0.498978
[LightGBM] [Info] Iteration:36, valid_1 ndcg@3 : 0.483846
[LightGBM] [Info] Iteration:36, valid_1 ndcg@5 : 0.487568
[LightGBM] [Info] Iteration:36, valid_1 ndcg@10 : 0.506626
[LightGBM] [Info] 14.440973 seconds elapsed, finished iteration 36
[LightGBM] [Info] Iteration:37, valid_1 ndcg@1 : 0.49923
[LightGBM] [Info] Iteration:37, valid_1 ndcg@3 : 0.484249
[LightGBM] [Info] Iteration:37, valid_1 ndcg@5 : 0.48832
[LightGBM] [Info] Iteration:37, valid_1 ndcg@10 : 0.507172
[LightGBM] [Info] 14.826620 seconds elapsed, finished iteration 37
[LightGBM] [Info] Iteration:38, valid_1 ndcg@1 : 0.500693
[LightGBM] [Info] Iteration:38, valid_1 ndcg@3 : 0.485174
[LightGBM] [Info] Iteration:38, valid_1 ndcg@5 : 0.488797
[LightGBM] [Info] Iteration:38, valid_1 ndcg@10 : 0.507657
[LightGBM] [Info] 15.221561 seconds elapsed, finished iteration 38
[LightGBM] [Info] Iteration:39, valid_1 ndcg@1 : 0.501154
[LightGBM] [Info] Iteration:39, valid_1 ndcg@3 : 0.485414
[LightGBM] [Info] Iteration:39, valid_1 ndcg@5 : 0.48863
[LightGBM] [Info] Iteration:39, valid_1 ndcg@10 : 0.507755
[LightGBM] [Info] 15.615630 seconds elapsed, finished iteration 39
[LightGBM] [Info] Iteration:40, valid_1 ndcg@1 : 0.502288
[LightGBM] [Info] Iteration:40, valid_1 ndcg@3 : 0.486388
[LightGBM] [Info] Iteration:40, valid_1 ndcg@5 : 0.489054
[LightGBM] [Info] Iteration:40, valid_1 ndcg@10 : 0.508344
[LightGBM] [Info] 16.031506 seconds elapsed, finished iteration 40
[LightGBM] [Info] Iteration:41, valid_1 ndcg@1 : 0.501639
[LightGBM] [Info] Iteration:41, valid_1 ndcg@3 : 0.486136
[LightGBM] [Info] Iteration:41, valid_1 ndcg@5 : 0.489736
[LightGBM] [Info] Iteration:41, valid_1 ndcg@10 : 0.508274
[LightGBM] [Info] 16.412113 seconds elapsed, finished iteration 41
[LightGBM] [Info] Iteration:42, valid_1 ndcg@1 : 0.503113
[LightGBM] [Info] Iteration:42, valid_1 ndcg@3 : 0.486658
