H/W path       Device     Class      Description
================================================
                          system     Virtual Machine
/0/100/7.1                storage    82371AB/EB/MB PIIX4 IDE
/0/100/7.3                bridge     82371AB/EB/MB PIIX4 ACPI
/0/100/8                  display    Hyper-V virtual VGA
/0/2                      display    NVIDIA Corporation
/0/3                      display    NVIDIA Corporation
/0/4                      display    NVIDIA Corporation
/0/0                      display    NVIDIA Corporation
/0/45          scsi0      storage
/0/45/0.0.0    /dev/sda   disk       4396GB SCSI Disk
/0/45/0.0.0/1  /dev/sda1  volume     2047GiB EXT4 volume
/0/46          scsi1      storage
/0/46/0.1.0    /dev/sdb   disk       3165GB SCSI Disk
/0/46/0.1.0/1  /dev/sdb1  volume     2947GiB EXT4 volume
/1             eth0       network    Ethernet interface
